Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
Bahrain,Branch_1,Wealth Management,"1,857.00","9,077,979.12","471,067.50","1,716,638.15","480,040.23",2.69,"83,279.32",479.73,6.08,675.46,1.73,2.04,"2,667,745.88","6,493,512.56",72%
Oman,Branch_2,Credit Card,"7,674.00","5,914,961.70","885,856.41","1,635,188.14","471,917.26",3.03,"310,010.31",652.59,7.22,"1,347.98",4.32,4.15,"2,992,961.81","3,232,010.20",55%
Kuwait,Branch_2,Auto Loan,"6,474.00","945,484.59","364,782.32","141,577.98","441,453.99",5.58,"319,681.96",708.43,5.84,"1,495.12",4.96,2.79,"947,814.29","317,352.26",34%
Oman,Branch_7,SME Loan,"6,992.00","4,553,059.51","932,788.17","509,191.96","447,947.74",3.01,"491,693.54",580.87,3.15,275.20,5.21,4.96,"1,889,927.87","3,154,825.18",69%
Saudi Arabia,Branch_6,Personal Loan,"1,778.00","7,587,924.94","632,455.43","1,753,584.79","148,058.98",5.03,"334,883.92",635.76,7.79,"1,403.18",1.11,2.83,"2,534,099.20","5,388,709.66",71%
Kuwait,Branch_4,Auto Loan,"3,342.00","7,961,932.16","934,484.57","1,800,002.29","79,977.60",4.32,"258,339.26",747.30,8.05,464.04,3.02,4.18,"2,814,464.46","5,405,806.96",68%
Saudi Arabia,Branch_2,Home Loan,"4,736.00","4,996,510.82","758,380.79","926,976.35","321,434.97",3.02,"456,397.80",849.76,8.69,466.74,5.89,3.85,"2,006,792.11","3,446,116.51",69%
Qatar,Branch_10,Home Loan,"1,159.00","8,958,000.95","107,917.99","891,282.11","246,612.27",5.18,"414,312.13",551.08,9.59,254.28,1.31,2.30,"1,245,812.37","8,126,500.71",91%
Kuwait,Branch_2,SME Loan,"6,768.00","2,749,917.53","234,995.61","366,778.46","53,879.63",4.18,"274,824.39",815.04,7.73,"1,398.84",4.93,4.05,"655,653.70","2,369,088.22",86%
UAE,Branch_2,Auto Loan,"3,257.00","4,164,927.10","397,199.60","1,937,453.36","340,382.95",1.54,"256,163.19",569.70,1.49,"1,187.22",1.63,1.20,"2,675,035.91","1,746,054.38",42%
UAE,Branch_6,Credit Card,"6,015.00","8,996,109.41","174,256.35","442,014.18","283,615.70",1.81,"471,042.62",730.10,1.19,269.48,5.12,1.42,"899,886.23","8,567,265.80",95%
Oman,Branch_6,SME Loan,"9,889.00","8,972,941.49","497,437.05","398,054.83","432,218.36",4.89,"308,946.39",615.27,7.66,"1,023.60",4.36,3.28,"1,327,710.24","7,954,177.64",89%
Saudi Arabia,Branch_7,Credit Card,"2,793.00","6,888,556.41","474,011.31","1,328,243.36","306,545.98",3.51,"357,175.81",786.22,1.50,356.17,4.63,3.70,"2,108,800.65","5,136,931.57",75%
Qatar,Branch_2,Wealth Management,"3,727.00","8,603,907.42","956,477.90","500,831.72","289,103.36",3.32,"44,252.84",546.79,3.84,"1,176.83",5.89,3.40,"1,746,412.98","6,901,747.28",80%
Kuwait,Branch_9,Wealth Management,"9,655.00","978,855.34","436,559.24","1,878,767.79","223,172.10",2.16,"359,434.51",682.70,2.23,731.77,5.70,2.79,"2,538,499.13","-1,200,209.28",-123%
Kuwait,Branch_3,Personal Loan,"5,550.00","8,663,450.26","786,698.67","41,595.85","234,079.60",2.21,"133,076.24",556.47,9.72,267.31,2.52,1.12,"1,062,374.12","7,734,152.38",89%
Saudi Arabia,Branch_9,SME Loan,"1,763.00","3,274,137.07","942,200.99","31,391.46","477,418.71",5.09,"58,653.42",771.37,3.85,"1,278.23",2.88,2.18,"1,451,011.16","1,881,779.33",57%
Qatar,Branch_6,Auto Loan,"9,821.00","1,865,481.97","877,603.89","1,019,656.07","73,530.77",5.23,"424,983.39",846.90,1.50,944.14,3.04,3.22,"1,970,790.73","319,674.63",17%
Bahrain,Branch_7,Credit Card,"5,692.00","2,469,761.38","212,624.29","986,363.67","225,878.32",4.02,"345,904.35",433.82,9.55,"1,204.73",1.90,1.52,"1,424,866.28","1,390,799.45",56%
Kuwait,Branch_9,SME Loan,"7,492.00","4,237,888.23","498,549.74","343,460.76","329,634.48",2.83,"204,374.59",560.89,6.48,"1,076.89",2.91,3.37,"1,171,644.98","3,270,617.84",77%
Bahrain,Branch_2,Credit Card,"1,406.00","2,586,800.85","351,001.08","999,148.73","219,340.27",5.70,"216,276.95",344.69,1.32,764.72,5.90,1.55,"1,569,490.08","1,233,587.72",48%
Kuwait,Branch_10,Personal Loan,"6,876.00","3,273,619.10","402,859.40","835,088.99","145,191.74",4.31,"99,361.74",377.55,8.50,"1,108.27",3.45,0.94,"1,383,140.13","1,989,840.71",61%
Saudi Arabia,Branch_8,Personal Loan,"5,964.00","1,436,287.01","364,002.79","1,782,852.46","147,241.90",5.08,"5,765.95",811.03,2.37,219.18,5.76,1.96,"2,294,097.15","-852,044.19",-59%
Qatar,Branch_3,Personal Loan,"9,574.00","3,032,149.98","827,227.41","38,322.76","120,659.74",1.51,"175,330.21",598.99,8.22,641.66,1.36,1.73,"986,209.91","2,221,270.28",73%
UAE,Branch_2,Auto Loan,"7,626.00","5,765,609.76","454,878.36","1,953,014.21","175,232.08",3.53,"75,058.77",517.31,6.42,"1,211.21",1.20,4.15,"2,583,124.65","3,257,543.88",56%
Saudi Arabia,Branch_8,Personal Loan,"9,001.00","4,474,351.71","526,075.86","1,256,297.67","436,479.01",5.42,"211,441.67",669.32,2.59,"1,191.98",3.88,2.68,"2,218,852.54","2,466,940.84",55%
UAE,Branch_1,Personal Loan,"5,675.00","3,532,515.74","982,535.12","320,650.02","255,086.15",3.02,"417,078.72",608.09,7.77,"1,353.63",4.68,0.79,"1,558,271.29","2,391,323.17",68%
Bahrain,Branch_2,Wealth Management,"5,630.00","7,489,876.08","64,679.38","112,584.83","123,918.17",4.77,"58,262.43",458.79,5.09,994.36,2.09,4.17,"301,182.38","7,246,956.13",97%
Bahrain,Branch_4,SME Loan,"4,513.00","8,945,748.72","490,517.85","1,085,449.20","195,340.72",4.46,"46,785.05",424.64,6.74,"1,424.86",3.52,1.71,"1,771,307.77","7,221,226.00",81%
Oman,Branch_8,Wealth Management,"3,848.00","7,592,213.31","775,191.40","485,082.53","57,386.05",2.18,"451,149.01",624.63,8.83,925.03,5.36,3.06,"1,317,659.98","6,725,702.34",89%
Saudi Arabia,Branch_5,Home Loan,763.00,"3,386,806.95","155,406.15","616,307.76","452,497.69",4.99,"372,824.64",403.55,3.34,850.59,4.81,2.94,"1,224,211.60","2,535,419.99",75%
Bahrain,Branch_1,SME Loan,"2,098.00","7,469,977.46","613,473.94","505,361.69","207,057.93",2.01,"27,481.86",376.54,4.29,456.38,2.16,4.87,"1,325,893.56","6,171,565.76",83%
Kuwait,Branch_10,Auto Loan,"8,094.00","1,604,603.81","243,267.46","1,307,341.18","490,293.65",4.78,"40,705.67",475.11,9.98,"1,212.49",2.67,1.65,"2,040,902.29","-395,592.81",-25%
Qatar,Branch_9,Auto Loan,"1,595.00","1,390,148.08","868,067.09","1,115,987.34","177,031.69",5.96,"342,777.19",773.74,5.57,"1,099.67",2.53,1.15,"2,161,086.12","-428,160.85",-31%
Saudi Arabia,Branch_6,Wealth Management,"3,404.00","3,521,707.67","330,464.17","174,389.36","418,996.24",5.81,"185,801.76",320.25,6.03,798.99,4.60,1.66,"923,849.77","2,783,659.66",79%
Oman,Branch_2,Personal Loan,"3,863.00","8,096,253.45","332,417.50","1,062,522.54","131,910.73",5.10,"362,362.47",758.30,3.57,313.24,5.84,3.09,"1,526,850.77","6,931,765.15",86%
Bahrain,Branch_7,Auto Loan,"5,332.00","2,538,847.65","600,202.91","1,586,555.74","42,695.68",3.91,"202,822.58",641.54,4.74,363.41,2.40,1.48,"2,229,454.33","512,215.90",20%
Oman,Branch_1,Credit Card,"1,953.00","726,208.75","187,645.09","180,765.29","20,708.01",4.54,"483,925.56",322.21,5.51,348.80,3.94,2.03,"389,118.39","821,015.92",113%
Bahrain,Branch_1,Credit Card,"6,685.00","1,403,924.40","288,464.20","1,781,683.17","305,053.37",4.78,"347,513.89",631.12,3.33,688.28,5.94,3.46,"2,375,200.74","-623,762.45",-44%
Oman,Branch_9,Credit Card,"1,391.00","8,601,575.19","419,548.69","1,165,047.17","159,228.97",1.54,"24,261.27",534.31,3.14,406.67,1.79,1.02,"1,743,824.83","6,882,011.63",80%
Bahrain,Branch_3,SME Loan,"3,681.00","6,374,454.52","356,869.67","1,902,236.45","224,542.34",1.96,"165,920.39",762.62,6.40,"1,319.09",4.30,4.75,"2,483,648.46","4,056,726.45",64%
Oman,Branch_8,Home Loan,"7,654.00","2,606,691.52","527,252.83","313,319.61","410,230.28",4.19,"282,239.49",798.96,2.65,"1,369.15",2.66,2.90,"1,250,802.72","1,638,128.29",63%
Bahrain,Branch_5,Home Loan,"7,380.00","5,597,428.67","601,641.94","1,987,258.70","127,813.50",1.53,"71,794.95",457.57,5.98,"1,313.80",5.96,2.68,"2,716,714.14","2,952,509.48",53%
UAE,Branch_2,Wealth Management,"1,736.00","5,323,038.26","568,834.12","1,295,660.27","157,782.98",5.59,"2,257.63",731.29,7.36,991.51,1.54,2.13,"2,022,277.37","3,303,018.52",62%
Kuwait,Branch_2,Home Loan,"3,796.00","6,588,816.19","655,897.47","1,143,638.51","423,441.41",3.70,"40,574.76",470.39,2.78,975.26,3.26,1.61,"2,222,977.39","4,406,413.56",67%
Oman,Branch_5,SME Loan,798.00,"2,408,556.79","311,210.77","1,040,253.66","248,917.33",2.66,"262,607.48",462.60,7.71,"1,358.20",2.27,2.68,"1,600,381.76","1,070,782.51",44%
Kuwait,Branch_2,SME Loan,"4,837.00","8,657,589.57","130,794.10","66,835.66","414,694.26",3.27,"316,495.29",405.95,4.24,728.20,1.16,2.69,"612,324.02","8,361,760.84",97%
Bahrain,Branch_3,Credit Card,954.00,"3,162,748.76","762,003.50","1,880,485.60","190,365.62",5.33,"47,358.78",673.17,9.93,281.05,5.82,0.75,"2,832,854.72","377,252.82",12%
UAE,Branch_10,Personal Loan,"8,264.00","6,971,903.37","851,526.48","1,295,109.06","202,193.14",5.67,"332,913.11",443.93,9.81,811.51,3.84,4.31,"2,348,828.68","4,955,987.80",71%
Bahrain,Branch_9,Wealth Management,"5,955.00","259,634.00","260,721.20","201,420.44","87,733.49",2.02,"308,944.95",555.67,8.19,919.82,4.50,4.19,"549,875.13","18,703.82",7%
Qatar,Branch_6,SME Loan,"7,492.00","3,789,305.59","410,056.50","61,485.30","458,591.20",5.00,"470,008.59",746.67,4.08,914.29,4.10,2.52,"930,133.00","3,329,181.18",88%
Oman,Branch_9,Auto Loan,"6,628.00","3,581,927.20","501,076.37","120,551.61","448,907.93",4.10,"420,497.07",735.55,9.43,406.71,1.74,2.02,"1,070,535.91","2,931,888.36",82%
Kuwait,Branch_7,Wealth Management,"5,349.00","5,480,495.84","535,660.21","1,226,603.61","492,187.42",4.13,"471,677.69",770.49,9.99,"1,218.44",1.85,2.75,"2,254,451.24","3,697,722.29",67%
Saudi Arabia,Branch_1,Personal Loan,"5,272.00","820,088.99","661,192.72","1,235,750.52","204,211.33",5.01,"483,087.70",388.59,5.16,"1,151.56",4.13,1.50,"2,101,154.57","-797,977.88",-97%
Oman,Branch_2,Wealth Management,"1,807.00","7,922,300.60","46,395.22","1,009,341.24","410,214.40",2.50,"220,963.46",622.79,6.53,498.81,4.90,0.50,"1,465,950.86","6,677,313.20",84%
Qatar,Branch_9,Auto Loan,"5,891.00","2,256,029.94","722,869.70","627,396.32","210,402.10",3.89,"244,467.43",803.16,1.05,916.60,4.06,2.09,"1,560,668.12","939,829.25",42%
UAE,Branch_3,Auto Loan,"5,635.00","6,802,674.37","66,661.15","1,072,850.61","229,877.90",2.94,"141,529.36",323.13,1.39,"1,227.43",3.85,0.58,"1,369,389.66","5,574,814.07",82%
Saudi Arabia,Branch_8,Auto Loan,"5,031.00","8,051,800.02","470,947.12","1,042,277.61","415,849.70",1.93,"254,707.77",736.99,5.51,209.99,4.73,0.68,"1,929,074.43","6,377,433.36",79%
Qatar,Branch_7,Home Loan,"3,610.00","5,662,581.87","828,532.78","58,442.81","92,796.55",1.97,"76,206.63",435.43,6.48,557.70,2.22,0.63,"979,772.14","4,759,016.36",84%
Bahrain,Branch_6,Personal Loan,302.00,"7,434,743.75","453,959.24","579,289.08","114,053.91",2.11,"336,044.05",668.31,3.81,813.65,4.66,4.46,"1,147,302.23","6,623,485.57",89%
Bahrain,Branch_10,SME Loan,"4,318.00","6,652,417.09","153,344.30","125,306.98","160,790.48",4.27,"13,441.33",694.57,1.89,"1,298.54",3.06,1.15,"439,441.76","6,226,416.66",94%
Kuwait,Branch_8,Home Loan,"9,058.00","3,619,744.99","985,108.68","1,802,306.41","395,148.62",1.98,"118,578.25",809.07,8.04,"1,238.66",4.37,1.64,"3,182,563.71","555,759.53",15%
Saudi Arabia,Branch_8,SME Loan,"4,489.00","8,107,699.54","889,839.03","1,455,941.86","189,462.52",4.07,"104,827.78",579.84,4.77,396.29,2.37,2.71,"2,535,243.41","5,677,283.91",70%
Saudi Arabia,Branch_10,SME Loan,"2,427.00","3,017,543.56","772,457.07","1,992,308.04","182,293.26",4.15,"469,006.65",766.53,6.84,801.56,1.69,2.88,"2,947,058.37","539,491.84",18%
UAE,Branch_8,Personal Loan,"8,104.00","5,755,007.89","414,454.04","618,299.10","499,414.09",5.57,"73,305.97",324.92,6.85,596.03,1.15,1.05,"1,532,167.23","4,296,146.63",75%
Oman,Branch_1,Wealth Management,"3,031.00","7,479,437.62","187,926.50","1,759,401.98","194,984.04",4.32,"445,496.95",531.30,5.92,721.86,5.02,4.59,"2,142,312.52","5,782,622.05",77%
Kuwait,Branch_7,Home Loan,"7,877.00","3,851,663.51","941,704.13","1,214,047.45","127,646.42",5.94,"63,054.75",541.74,2.61,902.81,1.98,1.54,"2,283,398.00","1,631,320.26",42%
Bahrain,Branch_8,Credit Card,297.00,"3,097,399.32","534,689.37","917,188.31","313,490.77",1.64,"325,698.30",596.05,6.54,849.14,2.82,4.74,"1,765,368.45","1,657,729.17",54%
Saudi Arabia,Branch_2,Auto Loan,"7,225.00","4,647,525.50","853,093.68","460,694.76","401,930.58",4.67,"160,623.10",564.74,3.90,384.05,4.84,1.66,"1,715,719.02","3,092,429.58",67%
Oman,Branch_4,Credit Card,"2,030.00","8,197,838.59","345,384.53","1,482,016.49","39,455.88",1.62,"158,685.18",832.38,8.37,358.19,3.25,0.51,"1,866,856.90","6,489,666.87",79%
Saudi Arabia,Branch_6,Auto Loan,"6,387.00","9,306,225.46","338,611.88","1,810,198.68","311,351.65",4.78,"499,137.28",343.20,2.74,369.35,2.09,4.87,"2,460,162.21","7,345,200.53",79%
Kuwait,Branch_4,Auto Loan,"8,900.00","5,496,325.79","985,612.78","485,910.63","22,689.05",3.24,"113,795.39",445.76,3.62,"1,293.67",1.97,2.68,"1,494,212.46","4,115,908.72",75%
Saudi Arabia,Branch_2,Credit Card,"9,439.00","6,648,515.43","524,223.88","367,272.86","265,534.51",4.25,"102,077.47",832.75,4.96,225.92,3.04,4.45,"1,157,031.25","5,593,561.65",84%
Saudi Arabia,Branch_2,SME Loan,"4,382.00","9,042,408.86","144,991.95","1,398,519.39","132,210.82",2.89,"295,078.04",544.92,7.66,463.13,3.83,3.80,"1,675,722.16","7,661,764.74",85%
Qatar,Branch_2,Wealth Management,"2,611.00","1,075,613.83","223,576.30","1,954,406.86","156,787.64",2.22,"370,635.45",614.14,7.49,"1,442.66",2.96,1.31,"2,334,770.80","-888,521.52",-83%
Saudi Arabia,Branch_2,Home Loan,759.00,"2,397,577.92","484,534.56","1,504,911.10","236,212.50",4.76,"491,269.76",344.56,4.03,285.83,5.52,4.30,"2,225,658.16","663,189.52",28%
UAE,Branch_7,Auto Loan,"2,911.00","7,118,110.06","47,258.56","583,469.86","463,918.19",5.57,"351,005.47",456.23,5.60,247.22,1.02,0.73,"1,094,646.61","6,374,468.92",90%
Kuwait,Branch_9,Wealth Management,"7,198.00","8,255,070.17","465,221.32","851,511.74","356,780.32",2.33,"281,373.66",321.81,3.11,703.53,3.01,2.78,"1,673,513.38","6,862,930.45",83%
Kuwait,Branch_10,Home Loan,"6,646.00","8,584,587.38","421,846.14","780,948.92","468,738.57",5.64,"205,156.73",375.63,7.93,396.56,4.71,1.64,"1,671,533.63","7,118,210.48",83%
UAE,Branch_9,Personal Loan,"9,661.00","4,209,561.05","780,439.58","1,707,148.14","331,685.65",2.13,"297,961.29",648.32,2.77,935.49,5.45,2.13,"2,819,273.37","1,688,248.97",40%
Qatar,Branch_6,Home Loan,"2,086.00","984,465.03","358,167.25","1,547,314.14","8,518.33",4.81,"300,816.66",719.99,8.37,640.16,2.79,3.91,"1,913,999.72","-628,718.03",-64%
Oman,Branch_10,Personal Loan,"8,438.00","4,434,036.63","982,636.02","1,186,171.36","136,464.67",5.82,"109,638.04",778.55,9.43,471.66,4.37,3.58,"2,305,272.05","2,238,402.62",50%
Oman,Branch_3,Auto Loan,"3,011.00","2,384,272.44","184,866.07","564,419.04","453,357.43",2.16,"335,933.07",438.31,9.92,"1,498.18",3.90,2.48,"1,202,642.54","1,517,562.97",64%
Qatar,Branch_7,SME Loan,"1,834.00","2,982,844.90","593,031.75","1,877,217.28","323,505.53",3.46,"103,007.47",483.08,8.71,643.44,2.01,0.71,"2,793,754.56","292,097.81",10%
Bahrain,Branch_8,SME Loan,"1,943.00","7,745,448.81","94,250.80","1,313,564.15","490,915.38",3.02,"245,487.46",613.17,3.00,"1,033.31",4.40,0.68,"1,898,730.33","6,092,205.94",79%
Saudi Arabia,Branch_9,Wealth Management,"8,780.00","847,718.15","735,194.66","1,941,543.76","82,202.19",3.25,"130,674.89",346.03,4.75,"1,336.35",2.25,3.66,"2,758,940.61","-1,780,547.57",-210%
UAE,Branch_4,SME Loan,"3,076.00","8,293,054.05","994,779.92","1,168,631.73","151,890.18",4.89,"157,087.71",743.70,1.80,"1,399.10",4.92,4.77,"2,315,301.83","6,134,839.93",74%
Kuwait,Branch_5,Wealth Management,"2,059.00","4,333,923.95","820,042.94","1,645,961.66","184,371.99",4.48,"307,324.63",565.81,2.48,733.17,5.33,4.31,"2,650,376.59","1,990,871.99",46%
Oman,Branch_1,Personal Loan,"5,859.00","6,001,032.92","557,925.02","1,629,948.65","166,646.12",5.86,"33,178.07",831.03,1.45,"1,469.00",3.39,1.05,"2,354,519.79","3,679,691.20",61%
Qatar,Branch_5,Home Loan,"6,794.00","987,557.09","487,317.65","687,910.98","129,735.81",2.33,"7,005.37",364.52,6.77,"1,141.93",1.27,1.05,"1,304,964.44","-310,401.98",-31%
UAE,Branch_10,Auto Loan,"2,485.00","3,439,854.88","835,854.81","1,928,761.03","224,515.53",3.94,"66,179.38",373.31,5.80,958.26,4.69,3.25,"2,989,131.37","516,902.89",15%
Bahrain,Branch_7,SME Loan,"4,836.00","988,039.10","936,294.21","63,444.11","322,937.57",3.52,"85,184.78",491.72,9.25,"1,101.26",3.34,3.46,"1,322,675.89","-249,452.01",-25%
Bahrain,Branch_2,Auto Loan,"1,902.00","9,619,282.86","989,260.49","1,542,047.60","159,072.18",5.63,"99,738.61",413.72,5.17,668.18,1.47,3.27,"2,690,380.27","7,028,641.20",73%
Saudi Arabia,Branch_5,Auto Loan,"8,255.00","8,091,890.33","399,556.53","1,931,803.03","44,451.46",1.55,"387,191.60",683.12,6.78,751.73,2.66,4.48,"2,375,811.02","6,103,270.91",75%
Qatar,Branch_9,Auto Loan,"8,220.00","4,650,364.27","990,962.89","691,038.24","355,723.60",5.95,"223,982.13",820.75,4.61,962.15,2.45,1.54,"2,037,724.73","2,836,621.67",61%
Bahrain,Branch_3,Personal Loan,"6,716.00","2,313,665.23","160,146.62","1,303,258.96","232,213.20",3.66,"235,498.13",349.45,8.47,624.88,4.63,1.28,"1,695,618.78","853,544.58",37%
Saudi Arabia,Branch_2,Home Loan,"5,634.00","9,341,205.54","257,282.03","1,133,202.03","280,458.74",4.31,"322,522.75",433.23,9.34,"1,199.46",3.12,4.61,"1,670,942.80","7,992,785.49",86%
Qatar,Branch_5,SME Loan,"4,161.00","3,511,506.30","93,571.04","1,527,784.47","230,423.33",3.12,"364,825.28",430.84,4.89,526.41,3.94,3.75,"1,851,778.84","2,024,552.74",58%
Bahrain,Branch_9,Home Loan,362.00,"1,693,745.87","275,379.82","1,735,032.28","445,726.96",5.34,"2,750.67",579.99,1.74,"1,235.85",3.51,3.70,"2,456,139.06","-759,642.52",-45%
Kuwait,Branch_10,SME Loan,"6,387.00","5,675,327.45","769,097.86","1,214,028.25","281,578.77",4.03,"428,505.94",548.61,2.47,397.80,4.62,2.01,"2,264,704.88","3,839,128.51",68%
Kuwait,Branch_4,Personal Loan,"8,915.00","9,443,363.79","853,659.74","1,635,491.08","462,022.04",4.48,"494,228.99",699.78,7.48,482.61,4.59,3.33,"2,951,172.86","6,986,419.92",74%
UAE,Branch_1,Credit Card,"9,308.00","137,919.88","779,998.18","638,325.44","257,734.79",4.42,"61,781.91",702.95,3.93,"1,179.02",3.24,3.77,"1,676,058.41","-1,476,356.62",-1070%
Kuwait,Branch_6,Personal Loan,"2,149.00","2,457,435.95","632,910.45","472,602.38","149,831.14",3.14,"325,889.21",615.01,8.07,542.08,1.68,3.20,"1,255,343.97","1,527,981.19",62%
Kuwait,Branch_9,Home Loan,"5,523.00","9,390,631.64","516,396.68","872,722.03","180,944.08",1.84,"2,204.46",625.06,7.75,"1,234.01",3.04,3.81,"1,570,062.79","7,822,773.31",83%
Oman,Branch_4,SME Loan,"4,648.00","1,793,751.07","710,160.77","1,361,918.47","263,454.00",5.13,"25,465.71",763.27,7.25,"1,219.03",1.80,3.16,"2,335,533.24","-516,316.46",-29%
Qatar,Branch_9,Home Loan,"3,208.00","1,221,110.17","393,879.38","390,748.96","267,344.77",2.80,"143,215.51",518.32,8.33,534.49,5.80,4.92,"1,051,973.11","312,352.57",26%
Saudi Arabia,Branch_7,Wealth Management,"7,258.00","5,744,853.44","842,101.81","1,367,097.34","345,232.16",5.32,"423,355.64",306.79,7.81,295.01,5.75,2.71,"2,554,431.31","3,613,777.77",63%
Kuwait,Branch_1,Home Loan,"7,500.00","8,632,253.85","678,804.14","800,305.42","116,124.96",4.24,"326,597.95",417.17,6.69,416.27,3.28,0.56,"1,595,234.52","7,363,617.28",85%
Qatar,Branch_6,Personal Loan,"3,270.00","4,823,387.20","699,315.68","1,595,239.04","331,127.24",3.09,"223,464.65",319.45,1.04,"1,178.28",1.14,1.24,"2,625,681.96","2,421,169.89",50%
Oman,Branch_2,Home Loan,"9,974.00","9,946,186.14","538,256.31","92,934.92","390,401.06",4.17,"219,860.64",516.42,5.64,"1,301.09",2.87,4.84,"1,021,592.29","9,144,454.49",92%
Kuwait,Branch_8,Personal Loan,"2,355.00","6,823,799.83","885,802.84","1,342,605.62","339,913.03",4.40,"233,560.73",496.81,6.36,697.97,5.48,2.61,"2,568,321.49","4,489,039.07",66%
Bahrain,Branch_7,Home Loan,"1,254.00","833,341.58","255,754.66","1,306,648.23","243,504.91",4.68,"156,205.52",354.25,9.65,413.48,2.44,1.04,"1,805,907.80","-816,360.70",-98%
Oman,Branch_7,Credit Card,"4,599.00","9,929,038.10","384,241.92","1,883,052.24","495,881.92",5.20,"438,979.54",715.26,6.85,298.11,4.11,1.20,"2,763,176.08","7,604,841.56",77%
Qatar,Branch_4,Wealth Management,"6,395.00","4,138,152.94","778,754.36","1,432,467.76","205,382.51",2.22,"284,366.70",604.18,6.18,480.56,1.92,0.63,"2,416,604.63","2,005,915.01",48%
Saudi Arabia,Branch_1,Wealth Management,"6,297.00","2,945,285.09","495,285.15","1,596,677.75","57,762.35",5.75,"242,491.03",424.14,5.87,"1,473.59",5.13,1.52,"2,149,725.25","1,038,050.87",35%
UAE,Branch_7,Auto Loan,"9,988.00","5,623,003.92","889,767.94","1,811,090.21","411,644.59",3.35,"233,073.22",717.52,1.93,421.35,5.46,4.94,"3,112,502.74","2,743,574.40",49%
Saudi Arabia,Branch_5,Credit Card,"1,748.00","3,112,645.16","349,667.32","1,356,602.80","110,039.60",5.37,"467,977.41",667.36,4.85,312.02,4.08,1.98,"1,816,309.72","1,764,312.85",57%
UAE,Branch_5,SME Loan,"5,639.00","955,929.32","372,483.52","594,504.20","358,076.36",2.49,"362,107.30",405.38,2.21,"1,221.12",4.12,1.63,"1,325,064.08","-7,027.46",-1%
Kuwait,Branch_9,Personal Loan,"9,737.00","114,140.60","889,292.11","1,742,152.12","93,593.26",1.63,"73,262.46",840.59,1.47,"1,000.03",2.89,3.50,"2,725,037.49","-2,537,634.43",-2223%
Qatar,Branch_3,Auto Loan,"4,299.00","4,550,875.19","467,048.47","1,500,204.68","13,354.31",4.08,"219,048.11",397.58,3.97,895.27,4.54,3.53,"1,980,607.46","2,789,315.84",61%
Saudi Arabia,Branch_5,Home Loan,"8,545.00","8,384,947.88","518,543.96","860,386.46","84,100.31",2.96,"144,897.73",724.44,6.81,782.21,3.39,4.86,"1,463,030.73","7,066,814.88",84%
